Deadline,Scholarship Name,Award amount,Education Level,Link,Open date,Eligibility
April 30,Think for Yourself Scholarship,"$2,000-$8,000",High school,https://letgrow.org/program/think-for-yourself-scholarship/,,"Applicants must be at least sixteen (16) years of age or older at the time of application, be legal residents of the fifty (50) United States, District of Columbia, Puerto Rico, or Guam, and be currently a senior (12th grade) or equivalent in an accredited high school or alternative program such as a micro-school or homeschool, and must enroll no later than the fall of 2028 in a post-secondary institution of higher education (2 or 4 year college or university, trade school, online or vocational school program)."
April 30,RentHop's College and University Scholarship Program,"$1,000","High school, Undergraduate",https://www.renthop.com/resources/college-scholarship,,"You must be a current student in an eligible undergraduate program or a graduating high school senior, working towards a bachelor's degree or associate's degree."
April 30,E-waste Scholarship,"$1,000","High school, Undergraduate, Graduate",http://www.digitalresponsibility.org/ewaste-scholarship,,"Must be a high school freshman, sophomore, junior, or senior or a current or entering college or graduate school student of any level. Home schooled students are also eligible. There is no age limit. You must also be a U.S. citizen or legal resident. "
April 30,Lift Parts Express Scholarship,$500,"High school, Undergraduate",https://forkliftpartsflorida.com/forkliftparts.php,,"Students must be between the ages of 16-21
Must be attending school in the fall
Must be a resident of the United States and Canada
Students must have a 2.5 GPA or above"
April 30,The Andrew Flusche Scholarship Contest,$500,"High school, Undergraduate, Graduate",https://www.andrewflusche.com/scholarship/,,"United States citizens or lawful residents who are:
Accepted into a U.S. college, university, graduate school, or trade school.
Enrolled in a U.S. college, university, or trade school."
May 1,The Melissa Stoneberger Scholarship,Varies,Undergraduate,https://www.melissastonebergerfoundation.org/scholarships,February 22,"A full-time undergraduate student enrolled at an accredited college or university
Actively involved in community service or leadership roles
Committed to making a positive impact in the world
Demonstrates financial need
Inspired to carry forward Melissa's legacy of love, courage, and service"
May 1,Hertiage Scholarship,$500,"High school, Undergraduate",https://www.dutchcrafters.com/heritage-scholarship,,"Enrolled or accepted for enrollment as a full-time student at an accredited 4-year undergraduate institution located in the United States of America.
Be a U.S. citizen or maintain legal residency within the United States.
Have achieved a minimum cumulative high school GPA of 3.0 on a 4.0 scale.
Must have applied for federal financial aid (FAFSA)."
May 1,The Paradigm Challenge,"Up to $100,000","K-8, High school",https://www.projectparadigm.org/,,Students aged 4 to 18 
May 1,School Spirit Scholarship,"$1,500",High school,https://www.1stplacespiritwear.com/scholarship,,The scholarship is open to all high school seniors in the United States who plan to attend a university or community college
May 1,Rover Scholarship,"$2,500","High school, Undergraduate, Graduate",https://www.rover.com/college-scholarship/,,"You need to be a resident of the United States.
You must be a graduating high school senior or currently a freshman, sophomore, or junior in college in pursuit of an associates degree, bachelor’s degree, or master’s degree.
If you're a graduating high school senior, your GPA must be 3.0 or above.
If you're in college, your GPA must be 3.0 or above. If you’re in graduate school, you must either have a 3.0 GPA or above or a “Pass” in a Pass/Fail grading system"
May 1,Bryan Cameron Education Foundation,Varies,High school,https://www.bryancameroneducationfoundation.org/scholarship,,"Maintain a minimum, cumulative, unweighted GPA of a 3.7/4.0 scale or equivalent in their high school studies;
Be a full citizen of the United States of America;
Be a graduating high school senior"
May 1,Stephen Phillips Memorial Scholarship,"$6,000-$10,000","High school, Undergraduate",https://phillips-scholarship.org/apply/new-applicants/,January 1,"An entering or returning student at an accredited undergraduate institution in the United States and must be enrolled full-time (at least 12 hours).
Pursuing a bachelor’s degree (BA, BS, BFA, BSN for example) for the first time. Students in one-year or two-year certificate or associate’s degree programs do not qualify. Students in five-plus year programs ending in a master’s degree or beyond may apply for the first four (undergraduate) years of their programs.
A United States citizen OR noncitizen who EITHER a) has a current lawful presence in the United States and employment authorization OR b) files (or is the dependent of a parent who files) a US income tax return.
A permanent resident of a New England state: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island or Vermont."
May 1,Pureland Supply Vocational and Skilled Trade Scholarship,$250,Undergraduate,https://www.purelandsupply.com/t-scholarship.aspx,,"Designed to support students who are enrolled in accredited trade schools, vocational colleges, technical schools, or community colleges pursuing careers in trade, craft, or labor-related fields."
May 1,The Ashoori Law Good Deeds Scholarship,"$1,000","Undergraduate, Graduate",https://www.ashoorilaw.com/scholarship/,,"You are enrolled or accepted in an accredited U.S. undergraduate or graduate program. 
You have a 3.0 GPA or higher."
May 1,Ben Hall: College/Trade School Scholarship,"$1,000","Undergraduate, Graduate",https://www.benhalllaw.com/college-trade-school-scholarship/,,Scholarship to five students going to college or a trade school
May 1,Greater Than Gatsby Annual Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.greaterthangatsby.com/academic-photography-scholarship/,,"You must be a recently accepted high-school student, undergraduate or graduate student from an accredited college/university in the United States. 
You must be majoring in any type of art, communications, english, film, fine arts, journalism, multimedia, photography and visual arts. 
You must be able to provide proof of your identity if you are chosen as the winner. 
Qualified ID is a student id or driver’s license."
May 1,Stephen Phillips Memorial Scholarship,"$6,000-$10,000",Undergraduate,https://phillips-scholarship.org/apply/new-applicants/,,"An entering or returning student at an accredited undergraduate institution in the United States and must be enrolled full-time (at least 12 hours).
Pursuing a bachelor’s degree (BA, BS, BFA, BSN for example) for the first time. Students in one-year or two-year certificate or associate’s degree programs do not qualify. Students in five-plus year programs ending in a master’s degree or beyond may apply for the first four (undergraduate) years of their programs.
A United States citizen OR noncitizen who EITHER a) has a current lawful presence in the United States and employment authorization OR b) files (or is the dependent of a parent who files) a US income tax return."
May 1,Thermo Fisher Scientific Antibody Scholarship,"$5,000-$10,000","Undergraduate, Graduate",https://www.thermofisher.com/us/en/home/life-science/antibodies/thermo-fisher-scientific-antibody-scholarship-program.html,August 1,"Pursuing an Associate Degree, Bachelor’s Degree, Master’s Degree, or Doctor of Philosophy (PhD) who have cumulative college GPA of 3.0 or greater on a 4.0 scale. Students enrolled in certificate programs only are not eligible;
Legal resident is a U.S. citizen, a U.S. permanent resident or an international student that has a valid student visa (F-1 visa) to study in the U.S. DACA recipients are not eligible;
Age 18 or older
Enrolled as a Student at an accredited U.S. college or university located in the 50 U.S. states or District of Columbia
Declared major of biology, chemistry, biochemistry or a related life science field. Students with a declared major outside of the life sciences but are pursuing a life science minor are not eligible. Those who are actively working as or studying to become a Healthcare Professional may not participate in this Program."
May 1,Nicolet Law Scholarship,"$5,000","High school, Undergraduate, Graduate",https://nicoletlaw.com/community-involvement/college-scholarship-video-essay-contest/,,"Future or current full-time undergraduate or graduate students, including international students, at an accredited U.S. college or university.
Applicants must be in good academic standing.
All areas of study are welcome. There are no restrictions."
May 2,Got a Spine Scholarship,$500,"High school, Undergraduate, Graduate",https://arcticchiropracticfairbanks.com/chiropractor_fairbanks.php#google_vignette,,"Be attending college or university no later than October of 2026 on a full-time basis
Have achieved a GPA of 2.5 or greater during their last academic year.
Be a U.S. or Canadian resident.
Be attending a school in the U.S. or Canada by October of 2026."
May 3,MyImpact Challenge,"$1,500-$10,000","High school, Undergraduate",https://billofrightsinstitute.org/my-impact-challenge,,Open to US based young people between the ages of 13-19
May 3,Valuing Diversity PhD Scholarship,"$1,000-$2,500",Graduate,https://www.ama.org/valuing-diversity-phd-scholarship/,,"Must be a U.S. citizen or a permanent U.S. resident.
Must be enrolled in a full-time AACSB accredited marketing doctoral program, or an advertising doctoral program, and have successfully completed at least one year."
May 4,NCAA Postgraduate Scholarship program,"$10,000",Undergraduate,https://www.ncaa.org/sports/2013/11/21/ncaa-postgraduate-scholarship-program.aspx,January 12,"Must be in final season of NCAA athletics eligibility or must have completed athletic eligibility,
Must be in final year of undergraduate academic work or received an undergraduate degree.
Have an overall undergraduate minimum cumulative grade-point average of 3.200 (based on a 4.000 scale)
Must enroll in a graduate degree granting program on a part- or full-time basis at an academically accredited graduate or degree-granting professional school.
The scholarship cannot be used to fund any undergraduate work."
May 8,GMiS STEM Scholarship,"$500-$5,000","Undergraduate, Graduate",https://greatmindsinstem.org/gmis-scholarship-application/gmis-scholarships/gmis-scholarship-guidelines/,,"Applicants must be pursuing a science, technology, engineering or math degree
Applicants must have an overall minimum GPA of 3.0 or higher on a 4.0 scale for merit-based scholarships.  Applicants may have a minimum 2.5 GPA for non-merit-based donor scholarships (at individual donors’ discretion).
Applicants may be enrolled full-time or part-time at the time of application and the time of the scholarship award
Applicants must be enrolled in a STEM or health-related undergraduate or graduate program for the upcoming fall semester, at an accredited 2-yr or 4-yr college/university in the U.S. or its territories. "
May 11,ScienceSaves Scholarship,"$250-$10,000",High school,https://sciencesaves.org/scholarship/,,All United States high school seniors entering college 
May 11,Brandon Wong & Associates Difference Makers Scholarship,"$1,000",Undergraduate,https://www.mwfamilylaw.com/scholarship,,"Student is enrolled in an accredited university or college within the United States
Student is in their junior or senior year of college
Student is a United States citizen or permanent resident"
May 13,Kanoski Bresney Stand Up to Distracted Driving Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.kanoski.com/community-involvement/distracted-driving-scholarship,,"You are currently enrolled in an undergraduate or graduate program at an accredited U.S. college or university, and your education will continue through the Fall 2026 semester.
You are a high school senior who will be starting your college or university education in Spring 2026 or Fall 2026.
You are a U.S. citizen.
You have a current overall GPA of at least 3.0."
May 15,Review It Scholarship,"$1,000","High school, Undergraduate, Graduate",https://chiureviewsscholarship.com/reviews.php,,"Be attending college or university no later than September of 2026.
Have achieved a GPA of 2.5 or greater during their last academic year.
Be attending or planning to attend a school in the US."
May 15,Nordson BUILDS Scholarship,"$4,000-$10,000","High school, Undergraduate, Graduate",https://www.nordson.com/en/our-company/community/nordson-builds-scholarship-program,January 15,"High school seniors or college students enrolling in an accredited not-for-profit postsecondary institution, including a four-year college, community college or trade school
Majoring in a field related to science, technology, engineering, mathematics or business and interested in a career in manufacturing
Live near a Nordson facility or attend a school near a Nordson facility"
May 15,Ted & Holly Rollins Scholarship,"$5,000-$10,000",High school,https://www.rollinsscholarship.org/scholarship-application,,"Scholarships will be awarded to high school seniors based on the most compelling stories -- regarding their life story, their intended field of study, career and how they will make an impact on the "
May 15,AGL Over the Rainbow Scholarship,"$1,000",High school,https://aglfoundation.org/scholarship-application,February 1,Applicant must be a high school senior heading into college
May 15,Cafe Bustelo EL Cafe Del Futuro Scholarship,"$5,000","High school, Undergraduate, Graduate",https://www.cafebustelo.com/en/scholarship,April 21,"Open to legal residents of the 50 United States, D.C. and Puerto Rico, 18 years of age or older who are currently enrolled as a full-time student at a HACU member institution"
May 15,The Maude and Alexander Hadden Scholarship,"Up to $10,000",High school,https://youth-foundation.org/application/guidelines/,February 1,"High school seniors who are U.S. citizens planning to attend a four-year accredited college or university established in the United States. 
Each applicant must have a minimum 3.5 GPA on a 4.0 scale and have SAT and/or ACT test scores to submit."
May 18,Lucas Law Legal Leaders Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.lucaslaw.com/scholarship,,"The student is pursuing a career in the legal field.
The student maintains a 3.5 grade point average or higher (if you do not currently have a GPA, you may provide your GPA from your most recently completed academic semester).
The student is enrolled (or planning to enroll) in an accredited undergraduate or graduate program within the United States through the Fall 2026 semester.
The student is at least 17 years old."
May 20,Innovation in Education Scholarship,$500,"High school, Undergraduate, Graduate",https://www.latutors123.com/scholarships/innovation-in-education/,,"Must currently be enrolled as a high school, college/university, or graduate student.
Must have a cumulative GPA of at least 3.0 (or the equivalent)."
May 22,Butler Kahn’s “Make-the-World-Better” Scholarship,"$500-$1,000","High school, Undergraduate, Graduate",https://butlerfirm.com/about-the-firm/scholarship/,,"Open to any student who is currently enrolled in an accredited undergraduate or graduate program anywhere in the world. This includes accredited community college students, high school seniors, and students who possess a GED who have been accepted or enrolled into an accredited program.
All eligible candidates must be in good academic standing with a minimum cumulative GPA of 2.00 or above, or international equivalent."
May 25,A Voice for Animals Contest,Varies,"K-8, High school",https://www.hennet.org/contest.php,February 2,"Must currently be enrolled in middle or high school, or be home-schooled, and less than 19 years of age
Open to all otherwise eligible students worldwide regardless of nationality, citizenship, or country of residence."
May 27,"Schwartz Injury Law Perserverance Scholarship
","$1,000","High school, Undergraduate, Graduate",https://www.schwartzinjurylaw.com/scholarship,,"Must be enrolled (or intending to enroll) at an accredited college or university within the United States
Student must be a citizen or permanent resident of the United States
Student must be 18 years of age or older
Student must have a minimum cumulative GPA of 3.0"
May 30,Jenner Law Make a Difference Scholarship,"$2,500","Undergraduate, Graduate",https://www.jennerlawfirm.com/scholarships/scholarships-make-a-difference/,January 1,"Undergraduate and graduate students from all areas of study
GPA of 3.0 or higher.
Enrolled in or accepted at an accredited college, university, or graduate school. 
U.S. citizen or otherwise authorized to attend school in the U.S."
May 30,Irene Adler Prize ,"$250-$1,000","High school, Undergraduate, Graduate",https://www.lucasaykroyd.com/scholarships,January 30,"Scholarship to a woman pursuing a degree in journalism, creative writing, or literature at a recognized post-secondary institution."
May 30,Annual Financial Empowerment Scholarship,"$2,500","Undergraduate, Graduate",https://www.bmtx.com/scholarship,January 12,"Undergraduate or graduate students
Be a citizen of the United States
Attend an accredited institution
GPA of at least 3.0"
May 31,Ramsey Education Scholarship Program,"$1,500",High school,https://www.tun.com/scholarships/ramsey-education-scholarship/,,"Must be a high school senior who has successfully completed or is taking one of the following courses:
Foundations in Economics
Foundations in Entrepreneurship
Foundations in Personal Finance
Any Foundations Homeschool curriculum"
May 31,The Space to Succeed Scholarship,"$5,000","Undergraduate, Graduate",https://thestoragecenter.com/self-storage/scholarship/,April 1,"Applicants must be 18 years or older, a legal U.S. resident, and enrolled in an accredited U.S. college or university at the time of application."
May 31,General Education and Mental Health Scholarship,"$1,500","High school, Undergraduate, Graduate",https://seasonsmalibu.com/about-seasons-in-malibu/general-education-and-mental-health-education-scholarship/,January 1,"Applicants must be currently enrolled in either High School, University or College as a full-time student. "
May 31,Trey Porter Law Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.dwilawyerstexas.com/scholarship/,,"Any student enrolled in an American or Canadian University
All programs and fields of study are welcome
Any year of study"
May 31,College Is Power (C.I.P) Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.collegeispower.com/scholarship.cfm,,Students age 17 years or older who plan to start a program of higher education within the next 12 months or who are currently enrolled in a program of higher education. Applicants may be full- or part-time students and attend a campus-based or online program. Applicants must be citizens or permanent residents of the United States.
May 31,"There’s Space for Everyone
Scholarship","$3,000","High school, Undergraduate, Graduate",https://www.extraspace.com/self-storage/scholarship/,,"Must be enrolled full-time in an accredited college or university for Fall 2026.
Must be attending an accredited college or university in the U.S.
Must be at least 16 years of age or older at the time of application.
Must be a legal resident of the U.S."
May 31,Altruism + All Good Deeds Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.parent-volunteer.org/a-a-altruism-all-good-deeds-scholarship,,"Be currently enrolled or plan to be enrolled part-time or full-time in an accredited U.S. college or university
Vocational/technical, two-year, four-year, or graduate institutions are eligible.
Be a high school junior or senior, undergraduate student, or graduate student
Have a grade point average of 2.5 or above on a 4.0 system"
May 31,Amy G Injury Firm Access to Education Scholarship,"$1,000","High school, Undergraduate, Graduate",https://amyglaw.com/2026-amy-g-injury-firm-access-to-education-scholarship/,,"Open to students currently enrolled in any accredited degree program in the United States, whether a vocational program, community college, junior college, undergraduate, or graduate school. GED holders and upcoming high school graduates attending a college-level study program are also eligible for the award.
Applicants must provide evidence of good academic standing from their current institution. Such proof will consist of a cumulative grade point average of no less than 3.0 on a 4.0 scale"
May 31,We The Future Contest,"$100-$5,000","K-8, High school, Undergraduate, Graduate",https://constitutingamerica.org/contest-categories-new/#toggle-id-5-closed,,"Open to elementary, middle school, high school, college and university students, law school and graduate school students"
May 31,SuperCollege Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.supercollege.com/scholarship/,,"Open to all students -- high school, college, grad or adult -- who are currently in college or plan to start"
May 31,J&Y “Books for Good” Scholarship,$300,"High school, Undergraduate, Graduate",https://jnylaw.com/scholarship/,,"Students at accredited colleges, trade schools, universities, and graduate schools in the United States "
May 31,John Kitt Memorial Scholarship,"$2,500",Undergraduate,https://www.aactcandy.org/awards-scholarships/john-kitt-memorial-scholarship-application/,,"College sophomore, junior, or senior status (in 2026-2027)
Attend an accredited, four-year college or university within North America
Be majoring in a food science, chemical science, biological science, or related area
Achieved a 3.0 (out of 4.0) GPA (or equivalent on another scale)
Have a demonstrated interest in confectionery technology. Your demonstrated interest in confectionery technology can include many activities including but not limited to research projects, work experience, and formal study"
June 1,Dermer Appel Ruder Scholarship,"$1,000","Undergraduate, Graduate",https://darlawllc.com/scholarship/,,"Student pursuing an undergraduate degree in pre-law studies, or a student entering law school in the Fall 2026 semester
Students must be accepted into a program at any U.S. school for Fall 2026 and have a GPA of 3.0 or above."
June 1,ACF Visionary Scholarship,Varies,High school,https://americancollegefoundation.org/college-planning-visionary-scholarship-details/,,All High School Grades Eligible
June 1,The Richard Rawle Memorial Scholarship,"$2,000","High school, Undergraduate, Graduate",https://www.checkcity.com/community-outreach/scholarship,,"Be currently enrolled in an accredited university or college in the United States
Be enrolled full-time
Have a minimum GPA of 2.5"
June 1,NursingExams.org Nursing Scholarship,"$1,000","Undergraduate, Graduate",https://nursingexams.org/nursing-scholarship/#0337,,"Should be planning on becoming a nurse.
Must be accepted at or planning to attend an accredited college or university within the United States.
Must be pursuing an undergraduate or graduate degree in a nursing field.
Continuing their studies in the upcoming academic year.
Have at least 30 semester or 45 quarter degree hours remaining."
June 1,Tobin Injury Law’s Annual Chai x 66 Scholarship Award,"$1,188","Undergraduate, Graduate",https://www.tobininjurylaw.com/scholarship-contest/,,Any student who is enrolled in an accredited undergraduate or graduate program anywhere in the United States.
June 1,Exceptional Nurse Scholarship,$250-$500,"High school, Undergraduate, Graduate",https://www.exceptionalnurse.com/scholarship.php,,"Applicants must be students with a documented disability who have applied to, or already been admitted to, a college or university program on a full-time basis."
June 2,JASNA Essay Contest,"$250-$1,000","High school, Undergraduate, Graduate",https://jasna.org/programs/essay-contest/,February 1,"High School: students and home-schooled students enrolled at the high school level during the contest year
College/University: students enrolled in at least six credit hours of course work at a junior college, college, or university during the contest year
Graduate School: students enrolled during the contest year in at least three credit hours of graduate course work at a college or university leading to an advanced degree "
June 3,Stuck At Prom Scholarship,"$500-$10,000",High school,https://www.duckbrand.com/stuck-at-prom,March 25,"Be at least 14 years of age.
Be enrolled in high school or home school association (at the high-school level)
Be a legal resident of the United States and the District of Columbus (excluding Maryland, Colorado, Vermont, Nebraska and North Dakota) or a legal resident of Canada (excluding the Province of Quebec)"
June 4,Ellevation Education Scholarship,"$2,000",High school,https://scholarshipamerica.org/scholarship/ellevationeducation/,April 30,"Be a high school senior who has been enrolled as an English Language Learner (ELL) at some point during their K-12 education.
Plan to enroll in full-time undergraduate study at an accredited two- or four- year college, university or vocational-technical school"
June 8,Burress Injury Law Scholarship,"$2,500-$5,000","High school, Undergraduate",https://www.mytexasfirm.com/scholarship,,"You are a U.S. citizen
You are enrolled in an undergraduate program at an accredited U.S. college or university for the Fall 2026 semester
High school graduates may apply if you are enrolled in college for the semester immediately following the application deadline"
June 8,Ocean Awareness Contest,"Up to $1,500","K-8, High school",https://bowseat.org/programs/ocean-awareness-contest/contest-overview/,,Students ages 11-18 from around the world are invited to participate in the Ocean Awareness Contest. 
June 10,Ortho Dermatologics ASPIRE HIGHER Scholarships,"Up to $10,000","High school, Undergraduate, Graduate",https://aspirehigherscholarships.smapply.net/prog/aspire_higher_scholarships/,March 13,"United States citizen residing in the United States who,  have been accepted to, or are currently or will be attending an accredited, two- or four-year college, university, or an advanced (post-high school) vocational or technical school to earn an undergraduate or graduate degree
Have been diagnosed with a dermatologic condition, at some point were under the care of a licensed dermatologist, physician assistant, or nurse practitioner working in a dermatology practice."
June 15,The Max McElhaney Memorial Educational Scholarship,"$3,000",High school,https://www.rockylawfirm.com/max-mcelhaney-memorial-educational-scholarship/,,"Open to high school senior that plans to enroll in a 4-year program at a public or private college or university
Eligible student must be enrolled as a full-time student during the fall semester in which the award is paid"
June 15,The Leon Harris Road to Recovery Scholarship,"$1,000",Undergraduate,https://leonharrisscholarship.com/leon-harris-scholarship/,,"Must be an undergraduate student in the United States.
Applicants should have completed, or currently be on, a recovery program and be pursuing higher education as the next step forward."
June 15,Marcus W. Viles Community Growth Scholarship,"$2,500","High school, Undergraduate, Graduate",https://www.vilesandbeckman.com/about-us/community-growth-scholarship/,,"Attend or be accepted to attend an accredited college, university, or graduate school in the United States
Have a GPA of at least 3.0
Have legal residency or citizenship in the U.S."
June 15,Horatio Alger: Career & Technical Scholarships,"Up to $2,500",High school,https://horatioalger.org/career-technical-education-scholarships/,March 15,"Have completed high school (or equivalency) by July 1
Plan to attend a not-for-profit community college or trade/vocational school
Enroll in an associate’s degree, certificate, or diploma program by September that will lead to employment
May not be enrolled in pre-requisite courses
Demonstrate financial need (applicants must show household income of $100,000 or less)
Be under the age of 35
Be a United States citizen"
June 15,The Sandi Fuqua Scholarship,"$2,500","High school, Undergraduate, Graduate",https://whitleylawfirm.com/about/scholarship/,,"Applicant must be enrolled or accepted at an accredited college, university, or graduate school
Applicant must be at least 18 years old at the age of enrollment
Applicant must have residency in the United States
Applicant must pursue their secondary education in the United States"
June 15,Berger and Green Heart Disease Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.bergerandgreen.com/about/scholarships/heart-disease-scholarship/,,"You have been diagnosed with heart disease or a congenital heart defect.
You are enrolled in or have been accepted to an accredited college or university or graduate school in the U.S.
You carry at least a 3.0 GPA."
June 15,GoFoodservice Scholarship,$500,"High school, Undergraduate, Graduate",https://www.gofoodservice.com/scholarship?kclt=b79f5dc3a4e04e4e97977fff1dce0fef,,"Open to high school seniors who plan to enroll in college at the start of the next school year, or all students who are currently enrolled in a Culinary Arts or Hospitality Management program."
June 16,The WIA Foundation Scholarship,"$5,000",Undergraduate,https://www.womeninaerospacefoundation.org/foundation/,,"To be eligible for the WIA Foundation Scholarship:
Must be interested in pursuing a career in the aerospace field and be a rising junior or senior working towards a bachelor’s degree in engineering, math or science
Must have completed at least two and a half academic years of full-time college work at the time of application and must be currently enrolled in an accredited college or university in the United States or its territories, and plan to be enrolled in the subsequent academic year
Must have a college grade point average of at least 3.0 on a 4.0 scale. Applicants must identify as female and be a U.S. citizen or Lawful Permanent Resident"
June 20,Innovation in Education Scholarship,$500,"High school, Undergraduate, Graduate",https://www.latutors123.com/scholarships/innovation-in-education/,,"Must currently be enrolled as a high school, college/university, or graduate student.
Must have a cumulative GPA of at least 3.0 (or the equivalent)."
June 24,Newland & Newland Single Parent Scholarship,"$1,000","Undergraduate, Graduate",https://www.newlandlaw.com/newland-and-newland-about-our-firm/scholarship,,"Must be enrolled in an accredited college, university, or law school for the Fall 2026 semester
Must be pursuing a paralegal, legal assistant, or pre-law program.
Must have a minimum GPA of 2.0
Must be a citizen or permanent resident of the United States"
June 24,Adult Learners Scholarship,"$4,000","Undergraduate, Graduate",https://www.educations.com/scholarships/adult-learners-scholarship,,"Adults over 25 years old who are pursuing undergraduate, graduate, or post-graduate studies"
June 25,Young Filmakers Contest,"$100-1,000","K-8, High school",https://www.oneearthfilmfest.org/contest-details,,"Open to students from grade 3 through university and above, based on the student’s grade level (through age 25)"
June 26,Navigate Your Future Scholarship,"$2,500",High school,https://www.nata.aero/scholarships/navigate-your-future-scholarship,,"Be a senior in high school, planning a career in the general aviation field
Be enrolled or accepted into an aviation-related program at an accredited college or university"
June 29,The Crowder Law Firm Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.crowdercriminalfirm.com/scholarship,,"Enrolled (or intending to enroll) at an accredited university or college for the Fall semester
Are 18 years of age or older upon date of application submission
Hold citizenship or permanent residency in the United States
Maintain a grade point average of 3.6 or higher"
June 30,Rose Pak Memorial Scholarship,,Undergraduate,https://www.rosepakcommunityfund.org/scholarship,April 1,"Target students of Asian and Pacific Islander Origin*
Incoming Freshman, Sophomore, Junior, or Senior at a four-year university in 2026 - 2027
Student’s permanent residence must be in one of nine San Francisco Bay Area County**
No Major requirements, but students must be able to demonstrate strong leadership qualities and commitment to serve their community."
June 30,Women in STEM Scholarship,"$10,000","High school, Undergraduate",https://www.tun.com/scholarships/the-hyundai-women-in-stem-scholarship/,,"High school seniors and college undergraduates who identify as female, reside in the United States, and wish to pursue a STEM-related field of education."
June 30,Supporting STEM Scholarship,"$1,000","High school, Undergraduate",https://hoshizakiicemaker.com/stem-scholarship,,"Be an undergraduate college student or high school senior
Have a cumulative minimum of 3.0 GPA
Maintain full-time enrollment of 12 credit hours or more per college term
Be a declared major in a science, technology, engineering, or mathematic field of study
Demonstrate passion for STEM subjects, strong moral character, and leadership ability
Reside in the U.S. attend a U.S. university, and be legally declared as a U.S. citizen"
June 30,Delete Cyberbullying Mental Health Awareness Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.endcyberbullying.net/scholarship-mental-health,,"To apply, you must be a high school student (9th-12th grader), college student or graduate student attending or planning to enter an accredited U.S. college or university."
June 30,Ron Hubbard Writers of The Future Contest,"$500, $750, $1,000","High school, Undergraduate, Graduate",https://www.writersofthefuture.com/enter-writer-contest/,April 1,New writers of science fiction and fantasy
June 30,Ron Hubbard Illustrators of The Future Contest,$500,"High school, Undergraduate, Graduate",https://writersofthefuture.com/enter-the-illustrator-contest/,April 1,New science fiction and fantasy artists
June 30,Digital Privacy Scholarship,"$1,000","High school, Undergraduate, Graduate",http://www.digitalresponsibility.org/digital-privacy-scholarship/,,"You must be a high school freshman, sophomore, junior, or senior or a current or entering college or graduate school student of any level.
Home schooled students are also eligible. 
There is no age limit. 
You must also be a U.S. citizen or legal resident."
June 30,Cashtelligent Financial Literacy Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.cashtelligent.com/scholarship/,,"Applicants must be high school or college students, graduate school students, adult students or parents of a student enrolled or planning to enroll in any accredited college in the U.S. There are no requirements for field of study."
June 30,CIA Undergraduate Scholarship,"Up to $18,000-$25,000","Undergraduate, Graduate",https://www.cia.gov/careers/student-programs/undergraduate-scholarship-program/,March 1,"Maintain competitive GPA (minimum 3.0 on a 4.0 scale)
Remain in full-time status as a student while in the program (min. 12 credit hours for undergraduate programs and 9 credit hours for graduate programs)"
June 30,"MyBioSource Inc. Scholarship for ""S.T.E.M."" Majors","$1,000","High school, Undergraduate, Graduate",https://www.mybiosource.com/scholarship-stem-majors,,"High School Seniors, Undergraduates, Graduates as well as international students can apply
Candidate must be enrolled as a freshman, undergraduate or graduate student at an accredited college or university for the 2026 Fall semester
Intended major in Science, Technology, Engineering, Mathematics or related fields"
June 30,MyBioSource Inc. Scholarship for All Majors,"$1,000","High school, Undergraduate, Graduate",https://www.mybiosource.com/scholarship_all_majors,,"High School Seniors, Undergraduates, Graduates as well as international students for all majors can apply
Candidate must be enrolled as a freshman, undergraduate or graduate student
An accredited college or university for the 2026 Fall semester"
June 30,"National High School Poetry Contest
",$100-$500,High school,https://www.highschoolpoetrycontest.com/to-enter.html,,All U.S. high school students are eligible to enter this contest. 
June 30,Regions Riding Forward Scholarship Contest,"$8,000","High school, Undergraduate",https://www.regions.com/about-regions/inclusion-belonging-impact/supporting-communities/essay-contest-scholarship,April 1,"Be a legal U.S. resident of one of the Eligible States: Alabama, Arkansas, Florida, Georgia, Iowa, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, South Carolina, Tennessee and Texas
Be age 16 or older.
Have at least one (1) year (or at least 18 semester hours) remaining before your undergraduate college graduation.
If you are not yet in college, begin your freshman year of college no later than the start of the 2027 – 2028 college academic school year.
As of your most recent school enrollment period, have a cumulative grade point average of at least 2.0 in school (and if no GPA is provided at school, be in “good standing” or the equivalent thereof in school)."
June 30,Community Impact Scholarship,"$2,500","High school, Undergraduate",https://888gothurt.com/scholarships/,,"Applicant must be enrolled in or accepted at an accredited United States college or university
Applicant must be at least 18 years old at the age of enrollment
Applicant must have residency in the United States"
